,Growth,Type (English),Type (Chinese),Vendor (English),Vendor (Chinese),Wine (English),Wine (Chinese),Region (English),Region (Chinese),Country (English),Country (Chinese),Vintage,Ratings
258,St. Emilion Grand Cru Classe,Red,紅酒,Bernard Magrez,,Chateau Fombrauge,,"St. Emilion, Bordeaux",波爾多,France,法國,,
259,St. Emilion Grand Cru Classe,White,白酒,Bernard Magrez,,Chateau Fombrauge Blanc,,"St. Emilion, Bordeaux",波爾多,France,法國,,
260,St. Emilion Grand Cru Classe,White,白酒,Bernard Magrez,,Magrez Fombrauge,,"St. Emilion, Bordeaux",波爾多,France,法國,,
261,St. Emilion Grand Cru Classe,Red,紅酒,Bernard Magrez,,Preludge de Fombrauge,,"St. Emilion, Bordeaux",波爾多,France,法國,,
262,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Fonplegade,,Chateau Fonplegade,,"St. Emilion, Bordeaux",波爾多,France,法國,,
263,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Fonroque,,Chateau Fonroque,,"St. Emilion, Bordeaux",波爾多,France,法國,,
264,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Franc Mayne,,Chateau Franc Mayne,,"St. Emilion, Bordeaux",波爾多,France,法國,,
265,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Grand Corbin,,Chateau Grand Corbin,,"St. Emilion, Bordeaux",波爾多,France,法國,,
266,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Grand Corbin Despagne,,Chateau Grand Corbin Despagne,,"St. Emilion, Bordeaux",波爾多,France,法國,,
267,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Grand Mayne,,Chateau Grand Mayne,,"St. Emilion, Bordeaux",波爾多,France,法國,,
268,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Les Grandes Murailles,,Chateau Les Grandes Murailles,,"St. Emilion, Bordeaux",波爾多,France,法國,,
269,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Grand Pontet,,Chateau Grand Pontet,,"St. Emilion, Bordeaux",波爾多,France,法國,,
270,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Guadet,,Chateau Guadet,,"St. Emilion, Bordeaux",波爾多,France,法國,,
271,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Haut Sarpe,,Chateau Haut Sarpe,,"St. Emilion, Bordeaux",波爾多,France,法國,,
272,St. Emilion Grand Cru Classe,Red,紅酒,Clos des Jacobins,,Clos des Jacobins,,"St. Emilion, Bordeaux",波爾多,France,法國,,
273,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Jean Faure,,Chateau Jean Faure,,"St. Emilion, Bordeaux",波爾多,France,法國,,
274,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Laniote,,Chateau Laniote,,"St. Emilion, Bordeaux",波爾多,France,法國,,
275,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Larmande,,Chateau Larmande,,"St. Emilion, Bordeaux",波爾多,France,法國,,
276,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Laroque,,Chateau Laroque,,"St. Emilion, Bordeaux",波爾多,France,法國,,
277,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Laroze,,Chateau Laroze,,"St. Emilion, Bordeaux",波爾多,France,法國,,
278,St. Emilion Grand Cru Classe,Red,紅酒,Chateau La Marzelle,,Chateau La Marzelle,,"St. Emilion, Bordeaux",波爾多,France,法國,,
279,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Monbousquet,,Chateau Monbousquet,,"St. Emilion, Bordeaux",波爾多,France,法國,,
280,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Moulin Du Cadet,,Chateau Moulin Du Cadet,,"St. Emilion, Bordeaux",波爾多,France,法國,,
281,St. Emilion Grand Cru Classe,Red,紅酒,Clos de l’Oratoire,,Clos de l’Oratoire,,"St. Emilion, Bordeaux",波爾多,France,法國,,
282,St. Emilion Grand Cru Classe,Red,紅酒,Clos La Madeleine,,Clos La Madeleine,,"St. Emilion, Bordeaux",波爾多,France,法國,,
283,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Pavie Decesse,,Chateau Pavie Decesse,,"St. Emilion, Bordeaux",波爾多,France,法國,,
284,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Peby Faugeres,,Chateau Peby Faugeres,,"St. Emilion, Bordeaux",波爾多,France,法國,,
285,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Petit Faurie Soutard,,Chateau Petit Faurie Soutard,,"St. Emilion, Bordeaux",波爾多,France,法國,,
286,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Pressac,,Chateau Pressac,,"St. Emilion, Bordeaux",波爾多,France,法國,,
287,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Le Prieure,,Chateau Le Prieure,,"St. Emilion, Bordeaux",波爾多,France,法國,,
288,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Quinault L’Enclos,,Chateau Quinault L’Enclos,,"St. Emilion, Bordeaux",波爾多,France,法國,,
289,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Ripeau,,Chateau Ripeau,,"St. Emilion, Bordeaux",波爾多,France,法國,,
290,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Rochebelle,,Chateau Rochebelle,,"St. Emilion, Bordeaux",波爾多,France,法國,,
291,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Saint Georges-Cote Pavie,,Chateau Saint Georges-Cote Pavie,,"St. Emilion, Bordeaux",波爾多,France,法國,,
292,St. Emilion Grand Cru Classe,Red,紅酒,Clos St. Martin,,Clos St. Martin,,"St. Emilion, Bordeaux",波爾多,France,法國,,
293,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Sansonnet,,Chateau Sansonnet,,"St. Emilion, Bordeaux",波爾多,France,法國,,
294,St. Emilion Grand Cru Classe,Red,紅酒,Chateau La Serre,,Chateau La Serre,,"St. Emilion, Bordeaux",波爾多,France,法國,,
295,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Soutard,,Chateau Soutard,,"St. Emilion, Bordeaux",波爾多,France,法國,,
296,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Tertre Daugay,,Chateau Tertre Daugay,,"St. Emilion, Bordeaux",波爾多,France,法國,,
297,St. Emilion Grand Cru Classe,Red,紅酒,Chateau La Tour Figeac,,Chateau La Tour Figeac,,"St. Emilion, Bordeaux",波爾多,France,法國,,
298,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Villemaurine,,Chateau Villemaurine,,"St. Emilion, Bordeaux",波爾多,France,法國,,
299,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Yon-Figeac,,Chateau Yon-Figeac,,"St. Emilion, Bordeaux",波爾多,France,法國,,
300,,Red,紅酒,Chateau Beauregard,,Chateau Beauregard,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
301,,Red,紅酒,Chateau Bellegrave,,Chateau Bellegrave,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
302,,Red,紅酒,Chateau Le Bon Pasteur,,Chateau Le Bon Pasteur,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
303,,Red,紅酒,Chateau Clinet,,Chateau Clinet,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
304,,Red,紅酒,Chateau Clos L'Eglise,,Chateau Clos L'Eglise,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
305,,Red,紅酒,Chateau Eglise Clinet,,Chateau Eglise Clinet,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
306,,Red,紅酒,Chateau Eglise Clinet,,"Chateau Eglise Clinet ""La Petite Eglise""",,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
307,,Red,紅酒,Domaines Barons de Rothschild,,Chateau L'Evangile,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
308,,Red,紅酒,Chateau Gazin,,Chateau Gazin,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
309,,Red,紅酒,Chateau La Conseillante,,Chateau La Conseillante,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
310,,Red,紅酒,Chateau La Croix de Gay,,Chateau La Croix de Gay,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
311,,Red,紅酒,Chateau La Croix du Casse,,Chateau La Croix du Casse,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
312,,Red,紅酒,Chateau La Croix St. Georges,,Chateau La Croix St. Georges,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
313,,Red,紅酒,Chateau La Fleur de Gay,,Chateau La Fleur de Gay,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
314,,Red,紅酒,Chateau La Fleur Petrus,,Chateau La Fleur Petrus,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
315,,Red,紅酒,Chateau La Violette,,Chateau La Violette,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
316,,Red,紅酒,Chateau Latour a Pomerol,,Chateau Latour a Pomerol,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
317,,Red,紅酒,Chateau Le Gay,,Chateau Le Gay,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
318,,Red,紅酒,Chateau Le Gay,,Chateau Le Gay Manoir de Gay,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
319,,Red,紅酒,Chateau Petit Village,,Chateau Petit Village,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
320,,Red,紅酒,Chateau Rouget,,Chateau Rouget,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
321,,Red,紅酒,Chateau Taillefer,,Chateau Taillefer,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
322,,Red,紅酒,Chateau Trotanoy,,Chateau Trotanoy,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
323,,Red,紅酒,Vieux Chateau Certan,,Vieux Chateau Certan,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
324,,Red,紅酒,Vieux Chateau Certan,,Gravette de Certain,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
325,,Red,紅酒,Chateau Nenin,,Chateau Nenin,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
326,,Red,紅酒,Chateau Nenin,,Fugue de Nenin,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,
327,,Red,紅酒,Chateau Potensac,,Chateau Potensac,,"Medoc, Bordeaux",波爾多,France,法國,,
328,,Red,紅酒,Chateau Potensac,,Chapelle de Pontensac,,"Medoc, Bordeaux",波爾多,France,法國,,
329,Sauternes Premier Cru Superieur,Sweet,甜酒,Chateau d'Yquem,,Chateau d'Yquem,,"Sauternes, Bordeaux",波爾多,France,法國,,
330,Sauternes Premiers Crus,Sweet,甜酒,Chateau La Tour Blanche,,Chateau La Tour Blanche,,"Sauternes, Bordeaux",波爾多,France,法國,,
331,Sauternes Premiers Crus,Sweet,甜酒,Bernard Magrez,,Chateau Lafaurie-Peyraguey,,"Sauternes, Bordeaux",波爾多,France,法國,,
332,Sauternes Premiers Crus,Sweet,甜酒,Bernard Magrez,,Symphonie de Haut Peyraguey,,"Sauternes, Bordeaux",波爾多,France,法國,,
333,Sauternes Premiers Crus,Sweet,甜酒,Bernard Magrez,,Chateau Haut Bommes,,"Sauternes, Bordeaux",波爾多,France,法國,,
334,Sauternes Premiers Crus,Sweet,甜酒,Chateau Clos Haut Peyraguey,,Chateau Clos Haut Peyraguey,,"Sauternes, Bordeaux",波爾多,France,法國,,
335,Sauternes Premiers Crus,Sweet,甜酒,Chateau Rayne Vigneau,,Chateau Rayne Vigneau,,"Sauternes, Bordeaux",波爾多,France,法國,,
336,Sauternes Premiers Crus,Sweet,甜酒,Chateau Suduiraut,,Chateau Suduiraut,,"Sauternes, Bordeaux",波爾多,France,法國,,
337,Sauternes Premiers Crus,Sweet,甜酒,Chateau Coutet,,Chateau Coutet,,"Sauternes, Bordeaux",波爾多,France,法國,,
338,Sauternes Premiers Crus,Sweet,甜酒,Chateau Climens,,Chateau Climens,,"Sauternes, Bordeaux",波爾多,France,法國,,
339,Sauternes Premiers Crus,Sweet,甜酒,Chateau Guiraud,,Chateau Guiraud,,"Sauternes, Bordeaux",波爾多,France,法國,,
340,Sauternes Premiers Crus,Sweet,甜酒,Domaines Barons de Rothschild,,Chateau Rieussec,,"Sauternes, Bordeaux",波爾多,France,法國,,
341,Sauternes Premiers Crus,Sweet,甜酒,Chateau Raubaud Promis,,Chateau Raubaud Promis,,"Sauternes, Bordeaux",波爾多,France,法國,,
342,Sauternes Premiers Crus,Sweet,甜酒,Chateau Sigalas Rabaud,,Chateau Sigalas Rabaud,,"Sauternes, Bordeaux",波爾多,France,法國,,
343,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau de Myrat,,Chateau de Myrat,,"Sauternes, Bordeaux",波爾多,France,法國,,
344,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Doisy Daene,,Chateau Doisy Daene,,"Sauternes, Bordeaux",波爾多,France,法國,,
345,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Doisy Dubroca,,Chateau Doisy Dubroca,,"Sauternes, Bordeaux",波爾多,France,法國,,
346,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Doisy Vedrines,,Chateau Doisy Vedrines,,"Sauternes, Bordeaux",波爾多,France,法國,,
347,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau d’Arche,,Chateau d’Arche,,"Sauternes, Bordeaux",波爾多,France,法國,,
348,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Filhot,,Chateau Filhot,,"Sauternes, Bordeaux",波爾多,France,法國,,
349,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Broustet,,Chateau Broustet,,"Sauternes, Bordeaux",波爾多,France,法國,,
350,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Nairac,,Chateau Nairac,,"Sauternes, Bordeaux",波爾多,France,法國,,
351,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Caillou,,Chateau Caillou,,"Sauternes, Bordeaux",波爾多,France,法國,,
352,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Suau,,Chateau Suau,,"Sauternes, Bordeaux",波爾多,France,法國,,
353,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau de Malle,,Chateau de Malle,,"Sauternes, Bordeaux",波爾多,France,法國,,
354,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Romer,,Chateau Romer,,"Sauternes, Bordeaux",波爾多,France,法國,,
355,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Lamothe Despujols,,Chateau Lamothe Despujols,,"Sauternes, Bordeaux",波爾多,France,法國,,
356,Sauternes Deuxiemes Crus,Sweet,甜酒,Chateau Lamothe Guignard,,Chateau Lamothe Guignard,,"Sauternes, Bordeaux",波爾多,France,法國,,
357,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Chasse Spleen,,Chateau Chasse Spleen,,"Moulis, Bordeaux",波爾多,France,法國,,
358,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Haut Marbuzet,,Chateau Haut Marbuzet,,"St. Estephe, Bordeaux",波爾多,France,法國,,
359,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Labegorce Zede,,Chateau Labegorce Zede,,"Margaux, Bordeaux",波爾多,France,法國,,
360,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Les Ormes de Pez,,Chateau Les Ormes de Pez,,"St. Estephe, Bordeaux",波爾多,France,法國,,
361,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau de Pez,,Chateau de Pez,,"St. Estephe, Bordeaux",波爾多,France,法國,,
362,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Phelan Segur,,Chateau Phelan Segur,,"St. Estephe, Bordeaux",波爾多,France,法國,,
363,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Potensac,,Chateau Potensac,,"Medoc, Bordeaux",波爾多,France,法國,,
364,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Poujeaux,,Chateau Poujeaux,,"Moulis, Bordeaux",波爾多,France,法國,,
365,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Siran,,Chateau Siran,,"Margaux, Bordeaux",波爾多,France,法國,,
366,Cru Bourgeois Superieur,Red,紅酒,Chateau d’Agassac,,Chateau d’Agassac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
367,Cru Bourgeois Superieur,Red,紅酒,Chateau d’Angludet,,Chateau d’Angludet,,"Margaux, Bordeaux",波爾多,France,法國,,
368,Cru Bourgeois Superieur,Red,紅酒,Chateau Anthonic,,Chateau Anthonic,,"Moulis, Bordeaux",波爾多,France,法國,,
369,Cru Bourgeois Superieur,Red,紅酒,Chateau d’Arche,,Chateau d’Arche,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
370,Cru Bourgeois Superieur,Red,紅酒,Chateau Arnauld,,Chateau Arnauld,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
371,Cru Bourgeois Superieur,Red,紅酒,Chateau d’Arsac,,Chateau d’Arsac,,"Margaux, Bordeaux",波爾多,France,法國,,
372,Cru Bourgeois Superieur,Red,紅酒,Chateau Beaumont,,Chateau Beaumont,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
373,Cru Bourgeois Superieur,Red,紅酒,Chateau Beau-Site,,Chateau Beau-Site,,"St. Estephe, Bordeaux",波爾多,France,法國,,
374,Cru Bourgeois Superieur,Red,紅酒,Chateau Biston-Brillette,,Chateau Biston-Brillette,,"Moulis, Bordeaux",波爾多,France,法國,,
375,Cru Bourgeois Superieur,Red,紅酒,Chateau Le Boscq,,Chateau Le Boscq,,"St. Estephe, Bordeaux",波爾多,France,法國,,
376,Cru Bourgeois Superieur,Red,紅酒,Chateau Bournac,,Chateau Bournac,,"Medoc, Bordeaux",波爾多,France,法國,,
377,Cru Bourgeois Superieur,Red,紅酒,Chateau Brillette,,Chateau Brillette,,"Moulis, Bordeaux",波爾多,France,法國,,
378,Cru Bourgeois Superieur,Red,紅酒,Chateau Cambon Le Pelouse,,Chateau Cambon Le Pelouse,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
379,Cru Bourgeois Superieur,Red,紅酒,Chateau Cap-Leon-Veyrin,,Chateau Cap-Leon-Veyrin,,"Listrac, Bordeaux",波爾多,France,法國,,
380,Cru Bourgeois Superieur,Red,紅酒,Chateau La Cardonne,,Chateau La Cardonne,,"Medoc, Bordeaux",波爾多,France,法國,,
381,Cru Bourgeois Superieur,Red,紅酒,Chateau Caronne Ste. Gemme,,Chateau Caronne Ste. Gemme,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
382,Cru Bourgeois Superieur,Red,紅酒,Chateau Castera Saint-Germain-d’Esteuil,,Chateau Castera Saint-Germain-d’Esteuil,,"Medoc, Bordeaux",波爾多,France,法國,,
383,Cru Bourgeois Superieur,Red,紅酒,Chateau Chambert-Marbuzet,,Chateau Chambert-Marbuzet,,"St. Estephe, Bordeaux",波爾多,France,法國,,
384,Cru Bourgeois Superieur,Red,紅酒,Chateau Charmail,,Chateau Charmail,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
385,Cru Bourgeois Superieur,Red,紅酒,Chateau Cissac,,Chateau Cissac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
386,Cru Bourgeois Superieur,Red,紅酒,Chateau Citran,,Chateau Citran,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
387,Cru Bourgeois Superieur,Red,紅酒,Chateau Clarke,,Chateau Clarke,,"Listrac, Bordeaux",波爾多,France,法國,,
388,Cru Bourgeois Superieur,Red,紅酒,Chateau Clauzet,,Chateau Clauzet,,"St. Estephe, Bordeaux",波爾多,France,法國,,
389,Cru Bourgeois Superieur,Red,紅酒,Chateau Clement Pichon,,Chateau Clement Pichon,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
390,Cru Bourgeois Superieur,Red,紅酒,Chateau Colombier-Ponpelou,,Chateau Colombier-Ponpelou,,"Pauillac, Bordeaux",波爾多,France,法國,,
391,Cru Bourgeois Superieur,Red,紅酒,Chateau Coufran,,Chateau Coufran,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
392,Cru Bourgeois Superieur,Red,紅酒,Chateau Le Crock,,Chateau Le Crock,,"St. Estephe, Bordeaux",波爾多,France,法國,,
393,Cru Bourgeois Superieur,Red,紅酒,Chateau Dutruch Grand Poujeaux,,Chateau Dutruch Grand Poujeaux,,"Moulis, Bordeaux",波爾多,France,法國,,
394,Cru Bourgeois Superieur,Red,紅酒,Chateau d’Escurac,,Chateau d’Escurac,,"Medoc, Bordeaux",波爾多,France,法國,,
395,Cru Bourgeois Superieur,Red,紅酒,Chateau Fonbadet,,Chateau Fonbadet,,"Pauillac, Bordeaux",波爾多,France,法國,,
396,Cru Bourgeois Superieur,Red,紅酒,Chateau Fonreaud,,Chateau Fonreaud,,"Listrac, Bordeaux",波爾多,France,法國,,
397,Cru Bourgeois Superieur,Red,紅酒,Chateau Fourcas Dupre,,Chateau Fourcas Dupre,,"Listrac, Bordeaux",波爾多,France,法國,,
398,Cru Bourgeois Superieur,Red,紅酒,Chateau Fourcas Hosten,,Chateau Fourcas Hosten,,"Listrac, Bordeaux",波爾多,France,法國,,
399,Cru Bourgeois Superieur,Red,紅酒,Chateau Furcas Loubaney,,Chateau Furcas Loubaney,,"Listrac, Bordeaux",波爾多,France,法國,,
400,Cru Bourgeois Superieur,Red,紅酒,Chateau du Glana,,Chateau du Glana,,"St. Julien, Bordeaux",波爾多,France,法國,,
